gnome-desktop-common 1:44.5-1
gnome-disk-utility 46.1-2
gnome-font-viewer 50.0-1
gnome-keybindings 50.1-1
gnome-keyring 1:50.0-1
gnome-logs 50.0-1
gnome-maps 50.1-1
gnome-menus 3.38.1-1
gnome-notes 40.2-1
gnome-online-accounts 3.58.1-1
gnome-remote-desktop 50.0-1
gnome-session 50.0-1
gnome-settings-daemon 50.1-1
gnome-shell 1:50.1-1
gnome-software 50.1-1
gnome-terminal 3.60.0-1
gnome-tour 50.0-1
gnome-tweaks 49.0-2
gnome-user-docs 50.0-1
gnome-user-share 48.2-1
gnome-weather 50.0-1
gnu-free-fonts 20120503-9
gnulib-l10n 20241231-1
gnupg 2.4.9-1
gnutls 3.8.12-2
go 2:1.26.2-1
gobject-introspection 1.86.0-2
gobject-introspection-runtime 1.86.0-2
gom 0.5.6-1
gperftools 2.18.1-1
gpgme 2.0.1-3
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.27.5-1
gradle 9.4.1-1
granite7 7.8.0-1
graphene 1.10.8-2
graphite 1:1.3.14-6
graphviz 14.1.4-2
grep 3.12-2
grilo 0.3.19-2
grilo-plugins 1:0.3.18-3
grim 1.5.0-2
groff 1.24.1-1
grub 2:2.14-1
gsettings-desktop-schemas 50.1-1
gsettings-system-schemas 50.1-1
gsfonts 20200910-6
gsm 1.0.24-1
gsound 1.0.3-4
gspell 1.14.3-1
gssdp 1.6.4-1
gst-devtools-libs 1.28.2-1
gst-editing-services 1.28.2-1
gst-libav 1.28.2-1
gst-plugin-gtk 1.28.2-1
gst-plugin-gtk4 0.15.1-1
gst-plugin-pipewire 1:1.6.3-1
gst-plugins-bad 1.28.2-1
gst-plugins-bad-libs 1.28.2-1
gst-plugins-base 1.28.2-1
gst-plugins-base-libs 1.28.2-1
gst-plugins-good 1.28.2-1
gst-plugins-ugly 1.28.2-1
gst-python 1.28.2-1
gstreamer 1.28.2-1
gtest 1.17.0-2
gtk-doc 1.36.1-1
gtk-engine-murrine 0.98.2-5
gtk-layer-shell 0.10.1-1
gtk-update-icon-cache 1:4.22.2-1
gtk-vnc 1.5.0-1
gtk2 2.24.33-7
gtk3 1:3.24.52-1
gtk4 1:4.22.2-1
gtk4-layer-shell 1.3.0-1
gtkmm-4.0 4.22.0-1
gtkmm3 3.24.10-1
gtksourceview3 1:3.24.11+r30+gd880929f-1
gtksourceview4 4.8.4-2
gtksourceview5 5.20.0-1
gts 0.7.6.121130-5
guile 3.0.11-1
gupnp 1:1.6.9-1
gupnp-av 0.14.4-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.60.0-2
gvfs-afc 1.60.0-2
gvfs-dnssd 1.60.0-2
gvfs-goa 1.60.0-2
gvfs-gphoto2 1.60.0-2
gvfs-mtp 1.60.0-2
gvfs-nfs 1.60.0-2
gvfs-onedrive 1.60.0-2
gvfs-smb 1.60.0-2
gvfs-wsdd 1.60.0-2
gweather-locations 2026.2-1
gzip 1.14-2
harfbuzz 14.1.0-1
harfbuzz-icu 14.1.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-2
htop 3.5.0-1
hunspell 1.7.2-3
hwdata 0.406-1
hyphen 2.8.8-6
hyprcursor 0.1.13-5
hyprgraphics 0.5.1-1
hypridle 0.1.7-8
hyprland 0.54.3-2
hyprland-guiutils 0.2.1-3
hyprland-qt-support 0.1.0-11
